HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HundredGigEAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HundredGigEAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
CLAS3548CIBE002,,Bundle-Ether10,,CLAS3548CIBE001,,Bundle-Ether10,
CLAS3548CIBE002,,Bundle-Ether31,,LCN04117CIBP001 ,,Bundle-Ether34,
CLAS3548CIBE002,,Bundle-Ether32,,LCN04117CIBP002,,Bundle-Ether34,
CLAS3548CIBE002,,Bundle-Ether109,,SRO00Q34CICN001,,Bundle-Ether102,
CLAS3548CIBE002,,Bundle-Ether110,,SRO00Q34CICN002,,Bundle-Ether102,
CLAS3548CIBE002,,Bundle-Ether251,,BNNS0801CICU001,,Bundle-Ether252,
CLAS3548CIBE002,,Bundle-Ether252,,CLA00633CICU001,,Bundle-Ether252,
CLAS3548CIBE002,,Bundle-Ether253,,LBSS0059CICU001,,Bundle-Ether252,
CLAS3548CIBE002,,Bundle-Ether254,,BNNPXLIICICU001,,Bundle-Ether252,
CLAS3548CIBE002,,Bundle-Ether257,,SRO00Q57CICU001,,Bundle-Ether252,
CLAS3548CIBE001,,Bundle-Ether10,,CLAS3548CIBE002,,Bundle-Ether10,
CLAS3548CIBE001,,Bundle-Ether31,,LCN04117CIBP001,,Bundle-Ether33,
CLAS3548CIBE001,,Bundle-Ether32,,LCN04117CIBP002,,Bundle-Ether33,
CLAS3548CIBE001,,Bundle-Ether101,,CMN05702CICN001,,Bundle-Ether101,
CLAS3548CIBE001,,Bundle-Ether102,,CMN05702CICN002,,Bundle-Ether101,
CLAS3548CIBE001,,Bundle-Ether109,,SRO00Q34CICN001,,Bundle-Ether101,
CLAS3548CIBE001,,Bundle-Ether110,,SRO00Q34CICN002,,Bundle-Ether101,
CLAS3548CIBE001,,Bundle-Ether251,,BNNS0801CICU001,,Bundle-Ether251,
CLAS3548CIBE001,,Bundle-Ether252,,CLA00633CICU001,,Bundle-Ether251,
CLAS3548CIBE001,,Bundle-Ether253,,LBSS0059CICU001,,Bundle-Ether251,
CLAS3548CIBE001,,Bundle-Ether254,,BNNPXLIICICU001,,Bundle-Ether251,
CLAS3548CIBE001,,Bundle-Ether257,,SRO00Q57CICU001,,Bundle-Ether251,
