HOSTNAME_C1,MANAGEMENT IP (NO NEED FOR HUAWEI)_C1,INTERFACE_C1,IS MULTICAST (YES/NO)_C1,HOSTNAME_C2,MANAGEMENT IP (NO NEED FOR HUAWEI)_C2,INTERFACE_C2,IS MULTICAST (YES/NO)_C2
IMUS3559CICN001,10.205.140.90,HundredGigE0/2/0/35,,IMUS3559CICN002,10.205.140.91,HundredGigE0/2/0/35,
IMUS3559CICN001,10.205.140.90,Bundle-Ether10,,IMUS3559CICN002,10.205.140.91,Bundle-Ether10,
IMUS3559CICN001,10.205.140.90,HundredGigE0/2/0/0,,NACS3561CICN001,10.205.140.92,HundredGigE0/3/2/0,
IMUS3559CICN001,10.205.140.90,Bundle-Ether11,,NACS3561CICN001,10.205.140.92,Bundle-Ether12,
IMUS3559CICN001,10.205.140.90,HundredGigE0/3/2/0,,KAWS0016CIBE002,10.205.140.92,HundredGigE0/0/0/4,
IMUS3559CICN001,10.205.140.90,Bundle-Ether102,,KAWS0016CIBE002,10.205.140.92,Bundle-Ether105,
IMUS3559CICN001,10.205.140.90,GigabitEthernet0/3/0/8,,,,,
IMUS3559CICN002,10.205.140.91,HundredGigE0/2/0/0,,KAWS0016CIBE001,10.205.140.92,HundredGigE0/7/0/3,
IMUS3559CICN002,10.205.140.91,Bundle-Ether101,,KAWS0016CIBE001,10.205.140.92,Bundle-Ether106,
IMUS3559CICN002,10.205.140.91,HundredGigE0/2/0/35,,IMUS3559CICN001,10.205.140.92,HundredGigE0/2/0/35,
IMUS3559CICN002,10.205.140.91,Bundle-Ether10,,IMUS3559CICN001,10.205.140.92,Bundle-Ether10,
IMUS3559CICN002,10.205.140.91,HundredGigE0/3/2/0,,NACS3561CICN002,10.205.140.92,HundredGigE0/2/0/0,
IMUS3559CICN002,10.205.140.91,Bundle-Ether11,,NACS3561CICN002,10.205.140.92,Bundle-Ether11,
